22 150
NAME STRING
FR1 FLOAT
FR2 FLOAT
FR3 FLOAT
FR4 FLOAT
FR5 FLOAT
FR6 FLOAT
FR7 FLOAT
FR8 FLOAT
FR9 FLOAT
FR10 FLOAT
FR11 FLOAT
FR12 FLOAT
FR13 FLOAT
FR14 FLOAT
FR15 FLOAT
FR16 FLOAT
FR17 FLOAT
FR18 FLOAT
FR19 FLOAT
FR20 FLOAT
FR21 FLOAT
"reo140" -41.029697 -22.597944 -12.321952 -6.7738595 -3.83135 -2.2549884 -1.3691026 -0.83140653 -0.47658437 -0.2190363 0.0 0.23574594 0.5483872 1.0115792 1.7357429 2.920945 4.9541492 8.565637 15.059377 26.632153 46.79622 
"reo141" -24.9653 -14.385186 -8.550433 -5.451402 -3.8225439 -2.910501 -2.297337 -1.771002 -1.2351731 -0.6505876 0.0 0.7311141 1.5659795 2.547943 3.7597704 5.3586884 7.635051 11.102501 16.627502 25.606113 40.195877 
"reo142" -88.46954 -46.786953 -24.752344 -13.693952 -8.327408 -5.647665 -4.094124 -2.9499576 -1.9365929 -0.96432084 0.0 0.9871737 2.0408673 3.23281 4.7170253 6.862125 10.500702 17.334845 30.536818 55.583927 101.366615 
"reo143" -106.00476 -54.13553 -26.677662 -13.013726 -6.6233106 -3.753344 -2.414934 -1.6600995 -1.0917516 -0.56026524 0.0 0.6408835 1.423957 2.444059 3.899477 6.255429 10.547487 18.871605 35.107372 65.921196 122.095955 
"reo144" -83.64795 -42.477818 -21.026062 -10.581028 -5.8207154 -3.7099643 -2.6683502 -1.970095 -1.3373297 -0.68803596 0.0 0.7478941 1.5957009 2.62245 4.0048532 6.153351 9.964169 17.226057 31.220377 57.55321 105.25817 
"reo145" -112.70651 -58.057667 -29.143612 -14.715327 -7.885555 -4.709445 -3.114196 -2.1278322 -1.3572594 -0.6657514 0.0 0.6831191 1.4399257 2.3633132 3.655985 5.803401 9.896296 18.152617 34.68875 66.58989 125.32937 
"reo146" -70.5801 -39.572556 -22.591911 -13.589615 -8.838312 -6.1840987 -4.4807234 -3.1797698 -2.0508144 -1.0055677 0.0 1.0115402 2.0962136 3.362576 5.0064626 7.408859 11.311762 18.098022 30.201159 51.671158 88.92223 
"reo147" -89.02472 -47.107006 -24.630047 -13.184297 -7.59266 -4.8632855 -3.3992584 -2.4284983 -1.6171663 -0.8298748 0.0 0.926603 2.0111837 3.34168 5.089003 7.6367245 11.820867 19.316496 33.207825 58.778515 104.5589 
"reo148" -53.725533 -29.229385 -16.078588 -9.339186 -5.974515 -4.2318053 -3.178711 -2.368353 -1.6114526 -0.83413696 0.0 0.9250002 1.9862256 3.2540429 4.858926 7.0693936 10.434208 16.010235 25.697407 42.70219 72.15098 
"reo149" -117.834435 -60.931873 -30.548082 -15.22944 -7.9201813 -4.5394306 -2.9073005 -1.9701766 -1.27533 -0.6449877 0.0 0.7167636 1.5671527 2.6444747 4.150098 6.5697856 10.999624 19.671413 36.727375 69.29407 128.90532 
"reo15" -93.00267 -46.39281 -21.927433 -9.977907 -4.611096 -2.39777 -1.5127295 -1.084932 -0.7559681 -0.40521586 0.0 0.47090852 1.0221245 1.6964805 2.6315277 4.2093754 7.3315377 13.860459 27.269382 53.542236 102.3652 
"reo16" -84.65526 -40.745934 -18.107597 -7.3430495 -2.718958 -0.9700555 -0.39805767 -0.22317676 -0.14614451 -0.07863664 0.0 0.10181844 0.24724194 0.4820342 0.93637055 1.9681106 4.4323735 10.119517 22.40362 47.143566 93.87885 
"reo17" -105.315994 -53.544872 -26.2547 -12.720837 -6.3933215 -3.5318265 -2.1777406 -1.415228 -0.87309575 -0.41931027 0.0 0.42521778 0.899748 1.4865292 2.3327062 3.830628 6.923331 13.602671 27.648266 55.65541 108.40012 
"reo18" -64.92359 -33.31165 -17.00316 -9.164184 -5.629342 -4.0332174 -3.1548698 -2.445049 -1.7056383 -0.8908893 0.0 0.96941257 2.0373926 3.2577255 4.7644653 6.8793573 10.310603 16.473413 27.962803 49.209064 87.34638 
"reo19" -106.21062 -52.6066 -24.538164 -10.863397 -4.7387066 -2.2272704 -1.2485716 -0.8203045 -0.5439061 -0.2849968 0.0 0.33978477 0.7753823 1.387342 2.371665 4.213184 8.005124 15.963567 32.185555 63.69954 121.85695 
"reo2" -75.556244 -37.195385 -17.58637 -8.33788 -4.3525696 -2.7484078 -2.0458386 -1.5827869 -1.1195393 -0.5955213 0.0 0.6812655 1.4813985 2.467779 3.795393 5.8361306 9.422008 16.240286 29.418467 54.33713 99.7086 
"reo20" -61.7763 -33.828297 -18.56142 -10.554622 -6.4523625 -4.3002005 -3.042436 -2.1586602 -1.4160593 -0.7143221 0.0 0.7728303 1.658754 2.737205 4.151804 6.195997 9.46815 15.119243 25.21632 43.244846 74.773125 
"reo21" -40.124092 -19.292973 -8.514217 -3.3634586 -1.1399466 -0.3028063 -0.046562366 0.003970385 -6.77066E-4 -0.008570691 0.0 0.039106086 0.12386873 0.27714866 0.55613035 1.1186954 2.3494797 5.06551 10.821311 22.333385 44.04395 
"reo22" -72.07038 -36.959965 -18.011158 -8.356588 -3.7336419 -1.6496311 -0.75034857 -0.3629516 -0.18412395 -0.08445753 0.0 0.11808748 0.32481718 0.7026618 1.4118966 2.799052 5.592531 11.21445 22.237751 43.017647 80.52646 
"reo23" -82.680504 -41.802734 -20.60592 -10.340846 -5.6877933 -3.632162 -2.6175375 -1.9365932 -1.32018 -0.6849676 0.0 0.76747286 1.6665266 2.7770922 4.2641263 6.511054 10.3721285 17.583342 31.37152 57.301258 104.39931 
"reo24" -42.638412 -21.976288 -11.194406 -5.923209 -3.494013 -2.384543 -1.8006449 -1.3746881 -0.96122473 -0.5104473 0.0 0.5943115 1.3083583 2.1995273 3.3760107 5.0649953 7.739204 12.3212385 20.485172 35.07485 60.658325 
"reo25" -61.706097 -33.421516 -18.172161 -10.302438 -6.3424616 -4.2949677 -3.0981266 -2.2391505 -1.4935447 -0.7648878 0.0 0.8456268 1.8172677 2.9704041 4.4052944 6.351802 9.329622 14.409021 23.59724 40.375668 70.41295 
"reo26" -55.679188 -27.718132 -13.080877 -5.9556723 -2.7637634 -1.4418507 -0.89908695 -0.62368745 -0.41421497 -0.21060565 0.0 0.22755587 0.49847388 0.8749877 1.4994514 2.6885085 5.1020665 10.012011 19.695597 37.978447 70.9521 
"reo27" -86.994865 -43.557335 -20.454418 -8.955995 -3.6638334 -1.4385711 -0.5892847 -0.28812775 -0.17252435 -0.09740892 0.0 0.16040306 0.425112 0.8587416 1.6094129 3.0439794 5.9957876 12.162482 24.69137 48.989853 93.79843 
"reo28" -87.89834 -44.174213 -21.636019 -10.8033495 -5.93088 -3.7815092 -2.702442 -1.9609625 -1.296594 -0.6463798 0.0 0.6585522 1.3660158 2.1949067 3.3118415 5.1224213 8.545951 15.463276 29.381016 56.355476 106.219505 
"reo29" -88.82422 -42.813988 -19.35007 -8.385326 -3.7953422 -2.1007936 -1.5037311 -1.1929514 -0.87360066 -0.4761646 0.0 0.5534415 1.2025422 2.0074468 3.136839 5.0244093 8.659865 16.05933 30.959967 59.783695 112.91483 
"reo3" -106.89095 -55.189182 -27.960104 -14.452455 -8.091105 -5.118422 -3.5695314 -2.5337913 -1.6547693 -0.8210259 0.0 0.832702 1.7163166 2.7279336 4.0532074 6.152471 10.069953 17.9338 33.694603 64.15013 120.30399 
"reo30" -28.398947 -16.365925 -9.909843 -6.5784287 -4.8552957 -3.861612 -3.1297622 -2.4387264 -1.7008922 -0.8900087 0.0 0.97565 2.0542264 3.2741115 4.715401 6.54109 9.069118 12.885558 19.00924 29.11808 45.847424 
"reo31" -5.2205844 -4.009997 -3.1809323 -2.60383 -2.1802595 -1.8373698 -1.5229907 -1.201289 -0.84888864 -0.4513622 0.0 0.51123476 1.0886587 1.7418205 2.486546 3.3481696 4.3650413 5.5924087 7.1067586 9.010717 11.438601 
"reo32" -70.32219 -33.553177 -14.603848 -5.6130843 -1.7849709 -0.3869269 0.005375143 0.05156 0.013824399 -0.016808512 0.0 0.10388321 0.34849277 0.81622267 1.6681881 3.2647145 6.3915925 12.627352 24.886814 48.176167 90.59484 
"reo33" -62.97504 -30.207226 -13.48768 -5.647369 -2.3345382 -1.0915768 -0.6590732 -0.47462246 -0.33392194 -0.1816969 0.0 0.2385738 0.5852147 1.1292253 2.0448058 3.7027547 6.8795433 13.096218 25.119598 47.658215 88.285446 
"reo34" -86.23795 -42.136497 -19.652983 -9.084564 -4.5503025 -2.7371168 -1.955452 -1.4604112 -0.99411136 -0.50501597 0.0 0.5150952 1.050663 1.6485333 2.4414172 3.8008423 6.6178193 12.760488 25.752981 51.719765 100.63967 
